2020-04-04 10:44:21.533 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Starting RedisDemoApplication on LiGangdeMacBook-Pro.local with PID 2039 (/Users/ligang/IdeaProjects/redis-demo-master/target/classes started by ligang in /Users/ligang/IdeaProjects/redis-demo-master)
2020-04-04 10:44:21.535 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - No active profile set, falling back to default profiles: default
2020-04-04 10:44:21.954 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-04 10:44:21.955 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-04 10:44:21.973 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2020-04-04 10:44:22.391 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-04-04 10:44:22.404 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-04-04 10:44:22.405 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-04 10:44:22.405 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-04 10:44:22.502 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-04 10:44:22.502 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 919 ms
2020-04-04 10:44:23.348 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-04-04 10:44:23.569 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-04-04 10:44:23.572 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-04-04 10:44:25.758 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-04 10:44:25.809 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-04 10:44:25.809 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-04-04 10:44:25.812 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-04-04 10:44:25.936 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-04-04 10:44:25.946 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
